id_igre,ime,konzola,ocena,tezavnost,dolzina,povezava
894436,Assassin's Creed Syndicate,19,3.48,2.70,36.74,/pc/894436-assassins-creed-syndicate
932861,Army of Two,113,3.48,2.83,15.56,/ps3/932861-army-of-two
927825,Neopets: The Darkest Faerie,94,3.48,2.97,39.44,/ps2/927825-neopets-the-darkest-faerie
565021,Warcraft: Orcs & Humans,19,3.48,3.49,29.76,/pc/565021-warcraft-orcs-and-humans
927723,Call of Duty 2: Big Red One,99,3.48,3.03,15.18,/gamecube/927723-call-of-duty-2-big-red-one
586503,Super Hang-On,54,3.48,3.81,19.74,/genesis/586503-super-hang-on
916670,Final Fantasy II,78,3.48,3.25,41.72,/ps/916670-final-fantasy-ii
562352,Harry Potter and the Chamber of Secrets,78,3.48,2.70,13.15,/ps/562352-harry-potter-and-the-chamber-of-secrets
589771,Onimusha Blade Warriors,94,3.48,3.08,20.06,/ps2/589771-onimusha-blade-warriors
640642,Remember Me,111,3.48,2.93,15.58,/xbox360/640642-remember-me
560778,Gungrave,94,3.48,2.98,8.24,/ps2/560778-gungrave
557901,Star Wars: Bounty Hunter,94,3.48,3.54,21.12,/ps2/557901-star-wars-bounty-hunter
563420,The Goonies II,41,3.48,3.37,13.27,/nes/563420-the-goonies-ii
931114,Lost Planet: Extreme Condition,111,3.48,3.33,18.28,/xbox360/931114-lost-planet-extreme-condition
516506,Frequency,94,3.48,3.68,33.55,/ps2/516506-frequency
914164,James Bond 007: Agent Under Fire,94,3.48,2.97,17.16,/ps2/914164-james-bond-007-agent-under-fire
587173,Captain Skyhawk,41,3.48,3.50,14.42,/nes/587173-captain-skyhawk
605727,Poker Night at the Inventory,19,3.48,2.89,10.47,/pc/605727-poker-night-at-the-inventory
938011,The Blackwell Legacy,19,3.48,2.87,4.80,/pc/938011-the-blackwell-legacy
367071,Mortal Kombat 3,54,3.48,3.51,19.15,/genesis/367071-mortal-kombat-3
145061,Call of Duty: Black Ops III,120,3.48,2.96,41.78,/ps4/145061-call-of-duty-black-ops-iii
680069,rain,113,3.48,2.07,5.64,/ps3/680069-rain
777734,PixelJunk Shooter Ultimate,120,3.48,3.00,14.50,/ps4/777734-pixeljunk-shooter-ultimate
587635,Solstice: The Quest for the Staff of Demnos,41,3.48,4.06,18.68,/nes/587635-solstice-the-quest-for-the-staff-of-demnos
936994,Harry Potter and the Order of the Phoenix,111,3.48,2.42,26.08,/xbox360/936994-harry-potter-and-the-order-of-the-phoenix
946582,SimCity Creator,114,3.48,2.84,45.88,/wii/946582-simcity-creator
972632,Shank,113,3.48,3.44,8.06,/ps3/972632-shank
960088,Guitar Hero: Van Halen,111,3.48,3.28,19.77,/xbox360/960088-guitar-hero-van-halen
932297,Aedis Eclipse: Generation of Chaos,109,3.48,3.31,49.82,/psp/932297-aedis-eclipse-generation-of-chaos
939863,Dementium: The Ward,108,3.48,3.53,11.91,/ds/939863-dementium-the-ward
792620,Call of Duty: Advanced Warfare,113,3.48,2.81,23.64,/ps3/792620-call-of-duty-advanced-warfare
792621,Call of Duty: Advanced Warfare,111,3.48,2.76,27.10,/xbox360/792621-call-of-duty-advanced-warfare
253576,Mortal Kombat 11,124,3.48,3.40,38.01,/switch/253576-mortal-kombat-11
198791,StarCraft 64,84,3.48,3.88,58.29,/n64/198791-starcraft-64
922246,Nanostray,108,3.48,3.83,13.62,/ds/922246-nanostray
932115,Transformers: Autobots,108,3.48,3.15,20.68,/ds/932115-transformers-autobots
666532,Skylanders Giants,113,3.48,2.44,37.25,/ps3/666532-skylanders-giants
763166,Steel Diver: Sub Wars,116,3.48,3.16,29.05,/3ds/763166-steel-diver-sub-wars
827505,The Unfinished Swan,120,3.48,1.98,4.74,/ps4/827505-the-unfinished-swan
921999,Shin Megami Tensei Online: Imagine,19,3.48,3.41,56.24,/pc/921999-shin-megami-tensei-online-imagine
199132,Turok: Rage Wars,84,3.48,3.32,27.52,/n64/199132-turok-rage-wars
926933,Tom Clancy's Splinter Cell Double Agent,113,3.48,3.13,15.71,/ps3/926933-tom-clancys-splinter-cell-double-agent
936499,MySims,114,3.48,2.05,37.72,/wii/936499-mysims
198693,Sonic 3D Blast,76,3.48,3.08,10.75,/saturn/198693-sonic-3d-blast
997628,Kinect Sports,111,3.48,2.57,17.05,/xbox360/997628-kinect-sports
999532,Street Fighter X Tekken,111,3.48,3.11,18.85,/xbox360/999532-street-fighter-x-tekken
574017,Virtua Fighter,76,3.48,3.14,11.58,/saturn/574017-virtua-fighter
552471,Crash Bandicoot: The Wrath of Cortex,98,3.48,3.04,20.45,/xbox/552471-crash-bandicoot-the-wrath-of-cortex
562361,Spyro 2: Season of Flame,91,3.48,2.92,16.55,/gba/562361-spyro-2-season-of-flame
932077,Cars,94,3.48,2.37,26.21,/ps2/932077-cars
941460,Sonic Rivals 2,109,3.48,2.89,17.17,/psp/941460-sonic-rivals-2
632974,Mario Party 9,114,3.48,2.66,23.50,/wii/632974-mario-party-9
196796,Body Harvest,84,3.48,3.92,31.69,/n64/196796-body-harvest
241940,Life is Strange 2,120,3.48,1.84,20.33,/ps4/241940-life-is-strange-2
636542,GoldenEye 007: Reloaded,113,3.48,3.16,15.50,/ps3/636542-goldeneye-007-reloaded
919487,Inuyasha: The Secret of the Cursed Mask,94,3.48,2.83,35.59,/ps2/919487-inuyasha-the-secret-of-the-cursed-mask
622499,Risen 2: Dark Waters,19,3.47,3.05,38.95,/pc/622499-risen-2-dark-waters
588656,SimAnt,63,3.47,2.78,33.06,/snes/588656-simant
925773,Dance Dance Revolution: Mario Mix,99,3.47,2.59,13.31,/gamecube/925773-dance-dance-revolution-mario-mix
197103,Destruction Derby 2,78,3.47,3.37,18.70,/ps/197103-destruction-derby-2
588444,The Lion King,63,3.47,3.77,11.61,/snes/588444-the-lion-king
720091,Dragon Ball Z: Battle of Z,113,3.47,3.09,36.88,/ps3/720091-dragon-ball-z-battle-of-z
588750,Super R-Type,63,3.47,4.06,10.97,/snes/588750-super-r-type
920420,Star Wars Episode III: Revenge of the Sith,98,3.47,2.86,18.71,/xbox/920420-star-wars-episode-iii-revenge-of-the-sith
919961,Guilty Gear Isuka,94,3.47,3.54,20.30,/ps2/919961-guilty-gear-isuka
562262,Mega Man Network Transmission,99,3.47,3.40,24.17,/gamecube/562262-mega-man-network-transmission
