id_igre,ime,konzola,konzola_kratica,ocena,tezavnost,dolzina,povezava
197338,Final Fantasy IX,ps,PS,4.40,3.02,64.12,/ps/197338-final-fantasy-ix
957923,Red Dead Redemption,ps3,PS3,4.40,3.01,44.44,/ps3/957923-red-dead-redemption
674775,Okami HD,ps3,PS3,4.40,2.81,50.11,/ps3/674775-okami-hd
610292,Uncharted 2: Among Thieves Game of the Year Edition,ps3,PS3,4.40,3.14,22.45,/ps3/610292-uncharted-2-among-thieves-game-of-the-year-edition
588737,Super Mario All-Stars,snes,SNES,4.40,3.26,35.17,/snes/588737-super-mario-all-stars
928518,Super Smash Bros. Brawl,wii,WII,4.40,3.08,53.58,/wii/928518-super-smash-bros-brawl
684080,Kingdom Hearts HD 1.5 ReMIX,ps3,PS3,4.40,3.17,63.80,/ps3/684080-kingdom-hearts-hd-15-remix
563277,The Legend of Zelda: Link's Awakening,gameboy,GB,4.39,3.08,26.91,/gameboy/563277-the-legend-of-zelda-links-awakening
915692,Super Mario Galaxy,wii,WII,4.39,3.00,34.04,/wii/915692-super-mario-galaxy
816306,Yakuza 0,ps4,PS4,4.39,2.99,70.84,/ps4/816306-yakuza-0
642342,Monster Hunter 3 Ultimate,3ds,3DS,4.39,3.86,80.00+,/3ds/642342-monster-hunter-3-ultimate
995078,Disgaea 4: A Promise Unforgotten,ps3,PS3,4.39,3.28,68.62,/ps3/995078-disgaea-4-a-promise-unforgotten
194395,The Witcher 3: Wild Hunt - Complete Edition,pc,PC,4.39,2.98,80.00+,/pc/194395-the-witcher-3-wild-hunt-complete-edition
199365,Xenogears,ps,PS,4.39,3.19,69.86,/ps/199365-xenogears
723483,Disgaea 4: A Promise Revisited,vita,VITA,4.39,3.18,80.00+,/vita/723483-disgaea-4-a-promise-revisited
615803,The Elder Scrolls V: Skyrim,xbox360,X360,4.39,2.98,79.88,/xbox360/615803-the-elder-scrolls-v-skyrim
375087,Pokemon Crystal Version,gbc,GBC,4.39,2.85,55.48,/gbc/375087-pokemon-crystal-version
914642,Half-Life 2,pc,PC,4.39,3.02,21.74,/pc/914642-half-life-2
643017,Red Dead Redemption: Game of the Year Edition,xbox360,X360,4.39,3.06,48.06,/xbox360/643017-red-dead-redemption-game-of-the-year-edition
792673,Pokemon Omega Ruby,3ds,3DS,4.39,2.59,60.33,/3ds/792673-pokemon-omega-ruby
957922,Red Dead Redemption,xbox360,X360,4.39,3.04,43.26,/xbox360/957922-red-dead-redemption
